Row Labels,func,Sum of Confidence,Sum of Lift,Sum of Support
battery,supply electrical,0.277777778,45.77777778,0.006067961
,store electrical,0.277777778,45.77777778,0.006067961
,import electrical,0.166666667,17.16666667,0.003640777
,transfer electrical,0.166666667,2.25136612,0.003640777
blade,separate solid,0.166666667,27.46666667,0.003640777
,export mechanical,0.166666667,13.73333333,0.003640777
,export solid,0.166666667,7.62962963,0.003640777
,import solid,0.166666667,5.971014493,0.003640777
,guide mechanical,0.055555556,5.086419753,0.001213592
,transfer mechanical,0.166666667,2.985507246,0.003640777
bracket,secure solid,1,9.694117647,0.001213592
cam,change mechanical,0.666666667,24.96969697,0.002427184
,transfer mechanical,0.333333333,5.971014493,0.001213592
cap,secure solid,0.5,4.847058824,0.001213592
,position solid,0.5,3.296,0.001213592
clamp,separate solid,0.181818182,29.96363636,0.002427184
,import solid,0.272727273,9.770750988,0.003640777
,export solid,0.181818182,8.323232323,0.002427184
,export mechanical,0.090909091,7.490909091,0.001213592
clutch,transfer control,0.333333333,45.77777778,0.001213592
,secure solid,0.333333333,3.231372549,0.001213592
,guide solid,0.333333333,2.641025641,0.001213592
cover,stop solid,0.105263158,21.68421053,0.002427184
,position solid,0.473684211,3.122526316,0.01092233
,convert human energy,0.052631579,3.097744361,0.001213592
,import human energy,0.052631579,3.097744361,0.001213592
,guide solid,0.263157895,2.085020243,0.006067961
cushion,decrement rotational,1,412,0.001213592
diode,guide electrical,1,412,0.001213592
electric conductor,couple solid,1,9.581395349,0.002427184
electric cord,change electrical,0.058823529,48.47058824,0.001213592
,export electrical,0.176470588,48.47058824,0.003640777
,import electrical,0.294117647,30.29411765,0.006067961
,guide electrical,0.058823529,24.23529412,0.001213592
,transfer electrical,0.294117647,3.972999036,0.006067961
electric motor,convert electrical,0.307692308,28.17094017,0.009708738
,export thermal,0.076923077,15.84615385,0.002427184
,transfer electrical,0.230769231,3.117276166,0.007281553
,secure solid,0.153846154,1.491402715,0.004854369
electric resistor,regulate electrical,0.5,82.4,0.001213592
,transfer electrical,0.5,6.754098361,0.001213592
electric socket,transfer electrical,1,13.50819672,0.001213592
electric switch,actuate control,0.096774194,13.29032258,0.007281553
,actuate electrical,0.129032258,13.29032258,0.009708738
,import human energy,0.129032258,7.594470046,0.009708738
,convert human energy,0.129032258,7.594470046,0.009708738
,export human material,0.064516129,1.898617512,0.004854369
,import human material,0.064516129,1.833147942,0.004854369
electric wire,transfer electrical,0.661290323,8.932839767,0.049757282
,secure solid,0.177419355,1.719924099,0.013349515
fan,convert mechanical,0.666666667,274.6666667,0.002427184
,secure solid,0.333333333,3.231372549,0.001213592
fastener,couple solid,1,9.581395349,0.001213592
friction enhancer,export solid,0.333333333,15.25925926,0.001213592
,import solid,0.333333333,11.94202899,0.001213592
,guide solid,0.333333333,2.641025641,0.001213592
gear,change mechanical,0.264705882,9.914438503,0.02184466
,transfer mechanical,0.264705882,4.74168798,0.02184466
,guide solid,0.279411765,2.213800905,0.023058252
glue,couple solid,1,9.581395349,0.001213592
guiders,guide solid,0.268656716,2.12858783,0.02184466
,position solid,0.208955224,1.377432836,0.016990291
handle,guide human material,0.3,11.77142857,0.003640777
,export human material,0.3,8.828571429,0.003640777
,import human material,0.3,8.524137931,0.003640777
heating element,convert electrical,0.5,45.77777778,0.001213592
,transfer electrical,0.5,6.754098361,0.001213592
housing,guide human material,0.097560976,3.828106852,0.014563107
,export human material,0.113821138,3.349593496,0.016990291
,import human material,0.113821138,3.234090272,0.016990291
,position solid,0.276422764,1.822178862,0.041262136
,secure solid,0.12195122,1.182209469,0.018203883
indicator light,transfer electrical,1,13.50819672,0.001213592
key,couple solid,1,9.581395349,0.001213592
latch release,guide human material,0.125,4.904761905,0.003640777
,export solid,0.083333333,3.814814815,0.002427184
,export human material,0.125,3.678571429,0.003640777
,import human material,0.125,3.551724138,0.003640777
,import solid,0.083333333,2.985507246,0.002427184
,secure solid,0.166666667,1.615686275,0.004854369
lever,import control,0.066666667,54.93333333,0.001213592
,transfer control,0.066666667,9.155555556,0.001213592
,import human energy,0.133333333,7.847619048,0.002427184
,convert human energy,0.133333333,7.847619048,0.002427184
,export mechanical,0.066666667,5.493333333,0.001213592
,import solid,0.133333333,4.776811594,0.002427184
,import human material,0.133333333,3.788505747,0.002427184
,export solid,0.066666667,3.051851852,0.001213592
,export human material,0.066666667,1.961904762,0.001213592
,guide solid,0.133333333,1.056410256,0.002427184
link,import mechanical,0.058823529,48.47058824,0.001213592
,guide mechanical,0.117647059,10.77124183,0.002427184
