switch,actuate electrical
motor,convert electrical
switch,convert human material
solder,couple solid
shell,export human energy
switch,export human material
blade,export solid
shell,guide human energy
plug,guide solid
motor,guide solid
mount,guide solid
pin,guide solid
shell,guide solid
spring,guide solid
washer,guide solid
shell,import human energy
switch,import human material
blade,import solid
cam,position solid
plate,position solid
casing,position solid
mount,position solid
casing,position solid
lock,position solid
shell,position solid
washer,position solid
switch,regulate control
switch,regulate electrical
plug,secure solid
shell,secure solid
switch,secure solid
blade,separate solid
battery,store electrical
battery,supply electrical
battery,transfer electrical
motor,transfer electrical
switch,transfer electrical
blade,transfer mechanical
cam,transfer mechanical
